Main Author,Year,Type of Approach,No Additional Sensing,Earphone Type,Development Stage,On-Device Processing,Active Interaction,Learning Method,Number of Authentication Stages,Continuous/ One-Time,Accuracy (BAC),Discreetness of Authentication,Robustness of Authentication,Resistance against Attacks,Registration Time,Authentication Time,Accuracy Evaluations,Usability Evaluations,Feasibility Evaluations,Responsiveness Evaluations,Noise Level Evaluations,Moving State Evaluations,Wearing Angle Evaluations,Evaluations of Different Settings,Threat Models Evaluations,Motivations,Keywords,Abstract,ID,Study Link,Title,Authors,Venue,BAC,Sensors
Sun et al.,2023,Shape-Based,Yes,Earbud,Research Prototype,No,No,MLP,1,One-Time,High,High,Medium,N/A,N/A,N/A,Yes,Yes,Yes,No,Yes,Yes,Yes,Lab/Controlled Room,No,"System Extension, Performance Optimization",N/A,"Earphones are emerging as the most popular wearable devices and there has been a growing trend in bringing intelligence to earphones. Previous efforts include adding extra sensors (e.g., accelerometer and gyroscope) or peripheral hardware to make earphones smart. These methods are usually complex in design and also incur additional cost. In this paper, we present Earmonitor, a low-cost system that uses the in-ear earphones to achieve sensing purposes. The basic idea behind Earmonitor is that each person's ear canal varies in size and shape. We therefore can extract the unique features from the ear canal-reflected signals to depict the personalized differences in ear canal geometry. Furthermore, we discover that the signal variations are also affected by the fine-grained physiological activities. We can therefore further detect the subtle heartbeat from the ear canal reflections. Experiments show that Earmonitor can achieve up to 96.4\% Balanced Accuracy (BAC) and low False Acceptance Rate (FAR) for user identification on a large-scale data of 120 subjects. For heartbeat monitoring, without any training, we propose signal processing schemes to achieve high sensing accuracy even in the most challenging scenarios when the target is walking or running.",11,https://dl.acm.org/doi/10.1145/3569472,Earmonitor: In-ear Motion-resilient Acoustic Sensing Using Commodity Earphones,"Sun, Xue and Xiong, Jie and Feng, Chao and Deng, Wenwen and Wei, Xudong and Fang, Dingyi and Chen, Xiaojiang",Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,96.40%,"Speaker, Microphone"
Liu et al.,2023,Others,Yes,Earbud,Research Prototype,No,Yes,DL-Cls,1,Continuous,High,High,Medium,High,N/A,Short,Yes,No,Yes,Yes,No,Yes,No,Lab/Controlled Room,Yes,"System Extension, Proof-of-Concept, Novel Authentication Technique, Performance Optimization, User-Centered Design","Ear, Authentication, biometrics, Headphones, Biological system modeling, Biometrics (access control), continuous authentication, inertial measurement units, Standards, User verification, Vibrations","Biometric plays an important role in user authentication. However, the most widely used biometrics, such as facial feature and fingerprint, are easy to capture or record, and thus vulnerable to spoofing attacks. On the contrary, intracorporal biometrics, such as electrocardiography and electroencephalography, are hard to collect, and hence more secure for authentication. Unfortunately, adopting them is not user-friendly due to their complicated collection methods or inconvenient constraints on users. In this paper, we propose a novel biometric-based authentication system, namely MandiPass. MandiPass leverages inertial measurement units, which have been widely deployed in portable devices, to collect intracorporal biometric from the vibration of user's mandible. It provides not only one-time verification function but also continuous authentication function. Both the two functions are secure and user-friendly. We theoretically validate the feasibility of MandiPass and develop a series of deep learning techniques for effective biometric extraction. We also utilize a Gaussian matrix to defend against replay attacks. Extensive experiment results with 34 volunteers show that MandiPass can achieve low equal error rate, even under various harsh environments.",14,https://ieeexplore.ieee.org/abstract/document/9841001,Secure User Verification and Continuous Authentication via Earphone IMU,"Liu, Jianwei and Song, Wenfan and Shen, Leming and Han, Jinsong and Ren, Kui",IEEE Transactions on Mobile Computing,98.72%,"Accelerometer, Gyroscope"
Li et al.,2023,Others,Yes,Earbud,Research Prototype,No,No,SVM,1,Continuous,Medium,High,N/A,N/A,N/A,N/A,Yes,No,No,No,No,No,No,Lab/Controlled Room,No,"Proof-of-Concept, Novel Authentication Technique, System Extension",N/A,"In the rapidly expanding universe of smart IoT, earable devices, such as smart headphones and hearing aids, are gaining remarkable popularity. As we anticipate a future where a myriad of sophisticated applications—interaction, communication, health monitoring, and fitness guidance—migrate to earable devices handling sensitive and private information, the need for a robust, continuous authentication system for these devices becomes more critical than ever. Yet, current earable-based solutions, which rely predominantly on audio signals, are marred by inherent drawbacks such as privacy concerns, high costs, and noise interference. In light of these challenges, we investigate the potential of leveraging photoplethysmogram (PPG) sensors, which monitor key cardiac activities and reflect the uniqueness of an individual’s cardiac system, for earable authentication. Our study presents EarPass, an innovative ear-worn system that introduces a novel pipeline for the extraction and classification of in-ear PPG features to enable continuous user authentication. Initially, we preprocess the input in-ear PPG signals to facilitate this feature extraction and classification. Additionally, we present a method for detecting and eliminating motion artifacts (MAs) caused by head motions. Through extensive experiments, we not only demonstrate the effectiveness of our proposed design, but also establish the feasibility of using in-ear PPG for continuous user authentication—a significant stride towards more secure and efficient earable technologies.",16,https://dl.acm.org/doi/10.1145/3594739.3610670,EarPass: Continuous User Authentication with In-ear PPG,"Li, Jiao and Liu, Yang and Li, Zhenjiang and Zhang, Jin",Adjunct Proceedings of the 2023 ACM International Joint Conference on Pervasive and Ubiquitous Computing & the 2023 ACM International Symposium on Wearable Computing,94.00%,PPG
Li et al.,2023,Shape-Based,Yes,Custom Device,Research Prototype,No,Yes,DML,1,Continuous,High,Medium,Medium,High,Short,Short,Yes,Yes,Yes,Yes,No,Yes,No,Lab/Controlled Room,Yes,"System Extension, Proof-of-Concept, Novel Authentication Technique",N/A,"With the advancement of AI-powered personal voice assistants, speaker authentication via earbuds has become increasingly vital, serving as a critical interface between users and mobile devices. However, existing audio-based speaker authentication methods fail to defend against voice spoofing threats such as replay and deep-fake attacks. To counteract these risks, we introduce PiezoBud, a pioneering multi-modal user authentication system that is truly practical and lightweight for earbuds. PiezoBud uses miniature piezoelectric sensors to detect micro-vibrations on the skin, extracting user-specific biometric data to authenticate legitimate access on the local smartphone and protect against malicious attacks. Our exploratory study, involving 85 participants, demonstrates the effectiveness of PiezoBud in various everyday scenarios, including ambient noise, body movement, and in-ear media playing. Using only 15 seconds of enrollment data, PiezoBud achieves an Equal Error Rate (EER) of 1.05\% and attain a mean authentication latency of 0.06 seconds on mobile devices. We also evaluate PiezoBud's effectiveness in countering challenging adaptive attack scenarios and its overall performance in various real-world situations. Our evaluation highlights that PiezoBud stands out as a practical, resilient, responsive, and secure option for earbuds users.",17,https://dl.acm.org/doi/10.1145/3666025.3699358,PiezoBud: A Piezo-Aided Secure Earbud with Practical Speaker Authentication,"Li, Gen and Zeng, Huaili and Guo, Hanqing and Ren, Yidong and Dixon, Aiden and Cao, Zhichao and Li, Tianxing",ACM Conference on Embedded Networked Sensor Systems (SenSys),≈ 98.95%,"Piezoelectric Sensor, Microphone, Bluetooth"
Kawasaki and Sugiura,2023,Shape-Based,Yes,Custom Device,Research Prototype,No,No,SDA,1,One-Time,High,High,N/A,N/A,N/A,N/A,Yes,No,No,No,No,No,No,Lab/Controlled Room,No,"Novel Authentication Technique, User-Centered Design, Proof-of-Concept, System Extension","Authentication, Feature extraction, Acoustic measurements, Wireless communication, Wireless sensor networks, Acoustics, Active acoustic sensing, authentication, identification, White noise","In recent years, wireless devices have become smaller and more portable. In addition, it is thought that personal identification and authentication will be necessary when they are used as independent terminals similar to smartphones. In this study, we focus on a neck-mounted earphone and propose personal identification and authentication using the acoustic characteristics of the clavicle, taking advantage of the fact that the clavicle touches the device when it is worn. Active acoustic sensing was used to measure the acoustic characteristics of the clavicle and extract its acoustic features. The accuracy was 98.8\%, and the EER was 4.0\% in five persons.",18,https://ieeexplore.ieee.org/document/10354211/similar,Identification and Authentication using Clavicles,"Kawasaki, Yohei and Sugiura, Yuta",Annual Conference of the Society of Instrument and Control Engineers (SICE),96.00%,"Piezoelectric Sensor, Speaker"
Hu et al.,2023,Shape-Based,Yes,Earbud,Research Prototype,No,No,MBA,1,One-Time,High,High,Medium,N/A,N/A,N/A,Yes,No,Yes,Yes,Yes,No,No,Lab/Controlled Room,No,"System Extension, Performance Optimization",N/A,"The widespread adoption of wireless earbuds has advanced the developments in earable-based sensing in various domains like entertainment, human-computer interaction, and health monitoring. Recently, researchers have shown an increased interest in user authentication using earables. Despite the successes witnessed in acoustic probing and speech based authentication systems, this paper proposed a lightweight and non-invasive ambient sound based user authentication scheme. It employs the difference between the in-ear and out-ear sounds to estimate the individual-specific occluded ear canal transfer function (OECTF). Specifically, the \{out-ear, in-ear\} scaling factors at different frequency bands are captured via linear regression and treated as the OECTF for user authentication. The proposed system is validated using 12 subjects under six different noisy environments and achieves a Balanced Error Rate (BER) of 4.84\%. The particularly lightweight system can be easily deployed in earbuds and paves the pathway for more personalized services.",20,https://dl.acm.org/doi/10.1145/3572864.3580332,Lightweight and Non-Invasive User Authentication on Earables,"Hu, Changshuo and Ma, Xiao and Ma, Dong and Dang, Ting",Proceedings of the International Workshop on Mobile Computing Systems and Applications,95.16%,Microphone
Choi et al.,2023,Others,Yes,Custom Device,Research Prototype,No,Yes,DL-Cls,1,One-Time,High,Medium,Medium,N/A,N/A,N/A,Yes,Yes,Yes,No,No,Yes,No,Lab/Controlled Room,No,"Novel Authentication Technique, Proof-of-Concept, System Extension, User-Centered Design",N/A,"Wearable devices have become indispensable gadgets in people’s daily lives nowadays; especially wireless earphones have experienced unprecedented growth in recent years, which lead to increasing interest and explorations of user authentication techniques. Conventional user authentication methods embedded in wireless earphones that use microphones or other modalities are vulnerable to environmental factors, such as loud noises or occlusions. To address this limitation, we introduce EarPPG, a new biometric modality that takes advantage of the unique in-ear photoplethysmography (PPG) signals, altered by a user’s unique speaking behaviors. When the user is speaking, muscle movements cause changes in the blood vessel geometry, inducing unique PPG signal variations. As speaking behaviors and PPG signals are unique, the EarPPG combines both biometric traits and presents a secure and obscure authentication solution. The system first detects and segments EarPPG signals and proceeds to extract effective features to construct a user authentication model with the 1D ReGRU network. We conducted comprehensive real-world evaluations with 25 human participants and achieved 94.84\% accuracy, 0.95 precision, recall, and f1-score, respectively. Moreover, considering the practical implications, we conducted several extensive in-the-wild experiments, including body motions, occlusions, lighting, and permanence. Overall outcomes of this study possess the potential to be embedded in future smart earable devices.",27,https://dl.acm.org/doi/10.1145/3581641.3584070,EarPPG: Securing Your Identity with Your Ears,"Choi, Seokmin and Yim, Junghwan and Jin, Yincheng and Gao, Yang and Li, Jiyang and Jin, Zhanpeng",ACM International Conference on {Intelligent User Interfaces (IUI),≈94.84%,"Accelerometer, PPG"
Zou et al.,2024,Others,Yes,Custom Device,Research Prototype,No,No,SVM,2,Continuous,Medium,High,Medium,N/A,N/A,Short,Yes,No,Yes,Yes,Yes,Yes,Yes,Lab/Controlled Room,No,"System Extension, Novel Authentication Technique","Irrigation, Authentication, Headphones, user authentication, Deep learning, Sensors, Acoustics, Smart phones, Deep metric learning (DML), Identification of persons, Physiology, smart earphones","With the increasing pervasiveness of smart earphones, it is appealing to propose more unobtrusive and convenient wearable authentication methods. Researchers have designed earphone-based authentication systems which utilize high-frequency audio signals to scan ear canal structure. Nevertheless, they possess shortcomings of low unobtrusiveness and robustness. In this article, we put forward an earphone-based passive authentication system which makes use of physiological and behavioral acoustic signals caused by a user’s natural actions, including putting on earphones and inner organs’ activities, respectively. By introducing attention mechanism into the network design, our method adaptively weighs two channel signals, and extracts stable fingerprints for different people, which relieves model retraining for unseen users and improves its scalability. We have built a real-time prototype called EarPrint by designing the earphones and a mobile application, and conducted comprehensive experiments under diverse settings. Experimental results demonstrate that EarPrint has low false acceptance rate (FAR) and equal error rate (EER) less than 1\% and 5\% in most cases, respectively.",1,https://ieeexplore.ieee.org/document/10566858,"EarPrint: Earphone-Based Implicit User Authentication With Behavioral and Physiological Acoustics
for the hearing-impaired","Zou, Yongpan and Weng, Jianhao and Lei, Haibo and Wang, Danyang and Leung, Victor C. M. and Wu, Kaishun",IEEE Internet of Things Journal,94.26%,"Bluetooth, Speaker, Microphone"
Xie et al.,2024,Motion-Based,Yes,Earbud,Commercial,No,Yes,KNN,1,One-Time,High,Medium,Medium,High,Medium,Short,Yes,No,Yes,Yes,Yes,Yes,Yes,Lab/Controlled Room,Yes,"Novel Authentication Technique, Proof-of-Concept, User-Centered Design","Authentication, Feature extraction, Headphones, user authentication, earphones, Energy consumption, head motion, Motion segmentation, System performance, ubiquitous computing, Ubiquitous computing","With the growing reliance on digital systems in today's mobile Internet era, robust authentication methods are crucial for safeguarding personal data and controlling access to resources. Conventional methods, such as knowledge-based and biometric-based authentication, are widely used but still have some usage limitations and potential security concerns, like wearing protective suits/masks or being imitated by attackers with ulterior motives. In this paper, we propose another earphone-based authentication system, namely EarPass, that leverages users' unique head motion patterns in response to a very short period of music segment. Here, we employ a Convolutional Neural Network (CNN)-based feature extractor to capture and map distinct head motions into a well-separated latent space, achieving high-dimensional data extraction. We demonstrate the consistency, uniqueness, and robustness of head motion patterns through extensive experiments and reach a 98.2\% F1-score, indicating superior performance compared to conventional authentication methods. Additionally, EarPass is user-friendly, secure, and adaptable to various environments, including noisy and movement-oriented scenarios. By integrating the authentication system into Android devices, we showcase its real-world applicability and low energy consumption with minimal latency. The source code of EarPass will be open-source to further research and collaboration within the community.",4,https://ieeexplore.ieee.org/document/10631065,EarPass: Unlock When Wearing Your Earphones,"Xie, Yanze and Gao, Mengzhen and Liu, Xiaoning and Huana, Shuo and Cui, Helei and Yu, Zhiwen and Guo, Bin",IEEE International Conference on Distributed Computing Systems (ICDCS),≈ 98.1%,"Accelerometer, Gyroscope"
Xie et al.,2024,Others,Yes,Earbud,Research Prototype,No,Yes,DML,1,One-Time,High,High,High,High,Short,Short,Yes,Yes,Yes,Yes,Yes,No,No,"Car, Park, Mall, Lab/Controlled Room",Yes,"Proof-of-Concept, Novel Authentication Technique","Ear, Irrigation, Authentication, biometrics, Feature extraction, Biometrics (access control), acoustic sensing, Dentistry, Mobile authentication, occlusal sound, Teeth","With the rapid development of mobile devices and the fast increase of sensitive data, secure and convenient mobile authentication technologies are desired. Except for traditional passwords, many mobile devices have biometric-based authentication methods (e.g., fingerprint, voiceprint, and face recognition), but they are vulnerable to spoofing attacks. To solve this problem, we study new biometric features which are based on the dental occlusion and find that the bone-conducted sound of dental occlusion collected in binaural canals contains unique features of individual bones and teeth. Motivated by this, we propose a novel authentication system, TeethPass⁺+, which uses earbuds to collect occlusal sounds in binaural canals to achieve authentication. First, we design an event detection method based on spectrum variance to detect bone-conducted sounds. Then, we analyze the time-frequency domain of the sounds to filter out motion noises and extract unique features of users from four aspects: teeth structure, bone structure, occlusal location, and occlusal sound. Finally, we train a Triplet network to construct the user template, which is used to complete authentication. Through extensive experiments including 53 volunteers, the performance of TeethPass⁺+ in different environments is verified. TeethPass⁺+ achieves an accuracy of 98.6\% and resists 99.7\% of spoofing attacks.",5,https://ieeexplore.ieee.org/document/10330729,User Authentication on Earable Devices via Bone-Conducted Occlusion Sounds,"Xie, Yadong and Li, Fan and Wu, Yue and Wang, Yu",IEEE Transactions on Dependable and Secure Computing,≈98.6%,Microphone
Wang et al.,2024,Motion-Based,Yes,Earbud,Research Prototype,No,Yes,DML,1,One-Time,High,Medium,High,High,N/A,N/A,Yes,Yes,Yes,No,No,No,No,"Car, Outdoors, Living Room, Office",Yes,"Proof-of-Concept, Novel Authentication Technique, User-Centered Design",N/A,"Ear wearables (earables) are emerging platforms that are broadly adopted in various applications. There is an increasing demand for robust earables authentication because of the growing amount of sensitive information and the IoT devices that the earable could access. Traditional authentication methods become less feasible due to the limited input interface of earables. Nevertheless, the rich head-related sensing capabilities of earables can be exploited to capture human biometrics. In this paper, we propose EarSlide, an earable biometric authentication system utilizing the advanced sensing capacities of earables and the distinctive features of acoustic fingerprints when users slide their fingers on the face. It utilizes the inward-facing microphone of the earables and the face-ear channel of the ear canal to reliably capture the acoustic fingerprint. In particular, we study the theory of friction sound and categorize the characteristics of the acoustic fingerprints into three representative classes, pattern-class, ridge-groove-class, and coupling-class. Different from traditional fingerprint authentication only utilizes 2D patterns, we incorporate the 3D information in acoustic fingerprint and indirectly sense the fingerprint for authentication. We then design representative sliding gestures that carry rich information about the acoustic fingerprint while being easy to perform. It then extracts multi-class acoustic fingerprint features to reflect the inherent acoustic fingerprint characteristic for authentication. We also adopt an adaptable authentication model and a user behavior mitigation strategy to effectively authenticate legit users from adversaries. The key advantages of EarSlide are that it is resistant to spoofing attacks and its wide acceptability. Our evaluation of EarSlide in diverse real-world environments with intervals over one year shows that EarSlide achieves an average balanced accuracy rate of 98.37\% with only one sliding gesture.",8,https://dl.acm.org/doi/10.1145/3643515,EarSlide: a Secure Ear Wearables Biometric Authentication Based on Acoustic Fingerprint,"Wang, Zi and Wang, Yilin and Yang, Jie",Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,98.37%,Microphone
Wang et al.,2024,Motion-Based,Yes,Earbud,Research Prototype,No,Yes,DL-Cls,1,Continuous,High,Medium,Low,High,N/A,N/A,Yes,No,No,No,Yes,Yes,No,Lab/Controlled Room,Yes,"Proof-of-Concept, Novel Authentication Technique, User-Centered Design","Authentication, Sensors, Wearable devices, Adversarial learning, Communication system security, implicit authentication, Security, wearable computing, Wireless communication, Wireless sensor networks","The surge in popularity of wireless headphones, particularly wireless earbuds, as smart wearables, has been notable in recent years. These devices, empowered by artificial intelligence (AI), are broadening their utility in areas such as speech recognition, augmented reality, pose recognition, and health care monitoring, thereby enriching user experiences through novel interactive interfaces driven by embedded sensors. However, the widespread adoption of wireless earbuds has spurred concerns regarding security and privacy, necessitating robust bespoke security measures. Despite the miniaturization of mobile chips enabling the integration of sophisticated algorithms into smart wearables, the research and industrial communities have yet to accord adequate attention to earbud security. This article focuses on empowering wireless earbuds to authenticate their legitimate users, tackling the challenges associated with conventional authentication methods. Instead of relying on input interface authentication methods like PIN or lock patterns, this research delves into leveraging inertial measurement unit (IMU) data collected during interactions with devices to extract novel biometric features, presenting an alternative approach that nonetheless confronts challenges related to signal capture and interference. Consequently, we propose and design BudsAuth, an implicit user authentication framework that harnesses built-in IMU sensors in smart earbuds to capture vibration signals induced by on-face touching interactions with the earbuds. These vibrations are utilized to deliver continuous and implicit user authentication with high precision and compatibility across various earbud models. Extensive evaluation demonstrates BudsAuth’s capability to achieve an equal error rate (EER) of 0.0003, representing an approximate 99.97\% accuracy with seven consecutive samples of interactive gestures for implicit authentication.",10,https://ieeexplore.ieee.org/document/10478100,BudsAuth: Toward Gesture-Wise Continuous User Authentication Through Earbuds Vibration Sensing,"Wang, Yong and Yang, Tianyu and Wang, Chunxiao and Li, Feng and Hu, Pengfei and Shen, Yiran",IEEE Internet of Things Journal,≈ 95%,"Accelerometer, Gyroscope"
Srivastava et al.,2024,Motion-Based,Yes,Custom Device,Research Prototype,No,Yes,SVM,1,One-Time,High,Medium,Medium,High,N/A,N/A,Yes,No,Yes,No,Yes,No,No,Lab/Controlled Room,Yes,"Proof-of-Concept, System Extension, Novel Authentication Technique, User-Centered Design",N/A,"In this paper, we present Jawthenticate, an earable system that authenticates a user using audible or inaudible speech without using a microphone. This system can overcome the shortcomings of traditional voice-based authentication systems like unreliability in noisy conditions and spoofing using microphone-based replay attacks. Jawthenticate derives distinctive speech-related features from the jaw motion and associated facial vibrations. This combination of features makes Jawthenticate resilient to vocal imitations as well as camera-based spoofing. We use these features to train a two-class SVM classifier for each user. Our system is invariant to the content and language of speech. In a study conducted with 41 subjects, who speak different native languages, Jawthenticate achieves a Balanced Accuracy (BAC) of 97.07\%, True Positive Rate (TPR) of 97.75\%, and True Negative Rate (TNR) of 96.4\% with just 3 seconds of speech data.",12,https://dl.acm.org/doi/10.1145/3625687.3625813,Jawthenticate: Microphone-free Speech-based Authentication using Jaw Motion and Facial Vibrations,"Srivastava, Tanmay and Pan, Shijia and Nguyen, Phuc and Jain, Shubham",ACM Conference on Embedded Networked Sensor Systems (SenSys),97.07%,"Accelerometer, Gyroscope"
Mizuho et al.,2024,Shape-Based,Yes,Custom Device,Research Prototype,No,No,AAD,1,One-Time,Medium,High,Medium,N/A,N/A,N/A,Yes,Yes,Yes,No,No,No,No,Lab/Controlled Room,No,"Proof-of-Concept, Novel Authentication Technique, System Extension",N/A,"Earphones are now used for longer hours than before with the advancement in wireless technology and miniaturization. In addition, the application of earphones has become more diverse, and opportunities to access highly confidential information through them have increased. We propose a method comprising a hearable device equipped with a small camera for user authentication from ear images. This method improves the security of the hearable device. Ear images are first captured with the camera. The ear regions in the images are then extracted using a mask region-based convolutional neural network. Finally, the user is identified using histograms of oriented gradient features and a support vector machine (SVM). Our method was able to identify 18 participants with an accuracy of 84.1\%. Users are authenticated through unsupervised anomaly detection using an autoencoder with an error rate of 8.36\%. This method facilitates hands- and eye-free operations without requiring any explicit authentication action by the user.",13,https://dl.acm.org/doi/10.1145/3652920.3653059,EarAuthCam: Personal Identification and Authentication Method Using Ear Images Acquired with a Camera-Equipped Hearable Device,"Mizuho, Yurina and Kawasaki, Yohei and Amesaka, Takashi and Sugiura, Yuta",Proceedings of the Augmented Humans International Conference,91.64%,Camera
Hu et al.,2024,Shape-Based,Yes,Earbud,Research Prototype,No,No,MBA,1,One-Time,High,High,High,Medium,Short,Short,Yes,No,Yes,Yes,Yes,Yes,No,"Lab/Controlled Room, Café, Public Transit, Car, Daily Life",Yes,"Proof-of-Concept, System Extension, Performance Optimization",N/A,"The increasing use of earbuds in applications like immersive entertainment and health monitoring necessitates effective implicit user authentication systems to preserve the privacy of sensitive data and provide personalized experiences. Existing approaches, which leverage physiological cues (e.g., jawbone structure) and behavioral cues (e.g., gait), face challenges such as limited usability, high delay and energy overhead, and significant computational demands, rendering them impractical for resource-constrained earbuds. To address these issues, we present LR-Auth, a lightweight, user-friendly implicit authentication system designed for various earbud usage scenarios. LR-Auth utilizes the modulation of sound frequencies by the user's unique occluded ear canal, generating user-specific templates through linear correlations between two audio streams instead of complex machine-learning models. Our prototype, evaluated with 30 subjects under diverse conditions, demonstrates over 99\% balanced accuracy with five 100 ms audio segments, even in noisy environments and during music playback. LR-Auth significantly reduces system overhead, achieving a 20 × to 404 × decrease in latency and a 24 × to 410 × decrease in energy consumption compared to existing methods. These results highlight LR-Auth's potential for accurate, robust, and efficient user authentication on resource-constrained earbuds.",21,https://dl.acm.org/doi/10.1145/3699793,LR-Auth: Towards Practical Implementation of Implicit User Authentication on Earbuds,"Hu, Changshuo and Ma, Xiao and Huang, Xinger and Shen, Yiran and Ma, Dong",Proceedings of the National Academy of Sciences (PNAS),99.80%,"Microphone, Speaker"
He et al.,2024,Shape-Based,Yes,Headphone,Research Prototype,No,No,DML,1,One-Time,High,High,High,Medium,Short,Short,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Lab/Controlled Room, Café, Supermarket, Living Room, Roadside",Yes,"Proof-of-Concept, Novel Authentication Technique, System Extension",N/A,"Earables, or ear wearables, are increasingly being used for a variety of personal applications, prompting the development of authentication schemes to safeguard user privacy. Existing authentications are designed for traditional in-ear earphones, relying on a closed ear canal environment, which is not suited for bone conduction earphones that feature an open-ear design. In this paper, we propose HCR-Auth, a new authentication approach for bone conduction earphones based on head biometrics. It employs a modulated chirp signal, emitted by the earphone speaker, to actively sense the user's head structure, and captures the response through the earphone's accelerometer. It operates implicitly, eliminating additional efforts from the user to perform authentication. Through extensive experiments involving 60 subjects, we determine that HCR-Auth achieves a commendable balanced accuracy of 96.55\% using only 10 registration samples, proving its efficacy and resilience against potential threats. Our dataset and source codes are available at https://anonymous.4open.science/r/HCR-Auth-D43B/.",22,https://dl.acm.org/doi/10.1145/3699780,HCR-Auth: Reliable Bone Conduction Earphone Authentication with Head Contact Response,"He, Zhixiang and Chen, Jing and Wu, Cong and He, Kun and Du, Ruiying and Jia, Ju and Gu, Yangyang and Sun, Xiping",Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,96.55%,"Bone Conduction Microphone, Accelerometer"
Han et al.,2024,Shape-Based,Yes,Earbud,Research Prototype,No,No,DML,1,One-Time,High,High,High,High,N/A,Short,Yes,No,Yes,Yes,Yes,Yes,Yes,"Lab/Controlled Room, Roadside, Office, Canteen",Yes,"Proof-of-Concept, Novel Authentication Technique, System Extension, User-Centered Design","Ear, Irrigation, Authentication, Feature extraction, Biometrics, Headphones, Microphones, Breathing biometrics, earable sensing, in-ear breathing sounds, passive authentication","As earable devices have become indispensable smart devices in people's lives, earable-based user authentication has gradually attracted widespread attention. In our work, we explore novel in-ear breathing biometrics and design an earable-based authentication approach, named BreathSign, which takes advantage of inward-facing microphones on commercial earphones to capture in-ear breathing sounds for passive authentication. To expand the differences among individuals, we model the process of breathing sound generation, transmission, and reception. Based on that, we derive hard-to-forge physical-level features from in-ear breathing sounds as biometrics. Furthermore, to eliminate the impact of breathing behavioral patterns (e.g., duration and intensity), we design a triple network model to extract breathing behavior-independent features and design an online user template update mechanism for long-term authentication. Extensive experiments with 35 healthy subjects have been conducted to evaluate the performance of BreathSign. The results show that our system achieves the average authentication accuracy of 93.15\%, 98.06\%, and 99.74\% via one, five, and nine breathing cycles, respectively. Regarding the resistance of spoofing attacks, BreathSign could achieve an average EER of approximately 3.5\%. Compared with other behavior-based authentication schemes, BreathSign does not require users to perform complex movements or postures but only effortless breathing for authentication and can be easily implemented on commercial earphones with high usability and enhanced security.",24,https://ieeexplore.ieee.org/abstract/document/10663927,Exploring Earable-Based Passive User Authentication via Interpretable In-Ear Breathing Biometrics,"Han, Feiyu and Yang, Panlong and Feng, Yuanhao and Du, Haohua and Li, Xiang-Yang",IEEE Transactions on Mobile Computing,98.06%,Microphone
Duan et al.,2024,Others,Yes,Headphone,Commercial,No,No,DL-Cls,1,One-Time,High,High,Medium,High,N/A,N/A,Yes,Yes,Yes,No,Yes,No,No,Lab/Controlled Room,Yes,"Proof-of-Concept, Novel Authentication Technique, System Extension",N/A,"In this paper, we proposed F2Key, the first earable physical security system based on commercial off-the-shelf headphones. F2Key enables impactful applications, such as enhancing voiceprint-based authentication systems, reliable voice assistants, audio deepfake defense, and the legal validity of artifacts. The key idea of F2Key is to establish a stable acoustic sensing field across the user's face and embed the user's facial structures and articulatory habits into a user-specific generative model that serves as a private key. The private key can decrypt the Channel Impulse Response (CIR) profiles provided by the acoustic sensing field into an inferred spectrogram that can match the real one calculated from the corresponding speech, provided that the user's CIR-spectrogram mapping relationship is consistent with the one embedded in the generative model. Extensive experiments demonstrate that F2Key resists 99.9\%, 96.4\%, and 95.3\% of speech replay attacks, mimicry attacks, and hybrid attacks, respectively. We discussed and evaluated F2Key from different perspectives, such as the health consideration and identical twins study, to show the practicality and reliability.",26,https://dl.acm.org/doi/10.1145/3643832.3661860,F2Key: Dynamically Converting Your Face into a Private Key Based on COTS Headphones for Reliable Voice Interaction,"Duan, Di and Sun, Zehua and Ni, Tao and Li, Shuaicheng and Jia, Xiaohua and Xu, Weitao and Li, Tianxing","Proceedings of the International Conference on Mobile Systems, Applications and Services",97.30%,"Microphone, Speaker"
